PTM#,Final determination,genetic match/notes,Determination in the field,Vial in Martone Lab?,Extracted?,Date of Extraction,PCR date (psbA),psbA sequence?,PCR date (CO1),CO1 sequence?,PCR date (rbcL),RbcL sequence?,SSU sequence?,Red/Coralline/Green/Brown,Locality,Date Collected,Notes,Accession #,Missing accession,Habitat,Fragments available?,Latitude,Longitude,Main Collector,Other collectors,Determiners
37,Corallina sp. 4frondescens,NA,Clathromorphum reclinatum,NA,yes- 2 50 ul elutions,4/10/2013,14i14,NA,NA,NA,NA,NA,NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-2008,NA,A88595,NA,"Epilithic, -0.5 - 0.0m, down from 4 dynamometer tidepool",NA,NA,NA,NA,NA,NA
38,NA,psbA failed,Bossiella corymbifera,NA,yes,24/4/2013,14i14,NA,NA,NA,NA,NA,NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-2008,NA,A88596,NA,"Epilithic, -0.5 - 0.0m, down from 4 dynamometer tidepool",NA,NA,NA,NA,NA,NA
39,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-2008,NA,A87292,NA,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",NA,NA,NA,NA,NA,NA
40,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-2008,NA,A87293,NA,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",NA,NA,NA,NA,NA,NA
41,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-2008,NA,A87294,NA,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",NA,NA,NA,NA,NA,NA
42,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-2008,NA,A87295,NA,epilithic below 4 dyno tidep,NA,NA,NA,NA,NA,NA
43,Bossiella californica,NA,Bossiella californica,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Pt. Pinos, Pacific Grove, CA",7-Feb-2008,NA,A88597,NA,"Epilithic, low intertidal, East of point",NA,NA,NA,NA,NA,NA
44,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Pt. Pinos, Pacific Grove, CA",7-Feb-2008,NA,A87296,NA,"Epilithic, low intertidal, E. side of Point",NA,NA,NA,NA,NA,NA
47,Calliarthron cheilosporioides,NA,Calliarthron cheilosporioides,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",1-Jun-2008,NA,A87297,NA,"Epilithic, subtidal, near Denny wavemeter",NA,NA,NA,NA,NA,NA
48,NA,did not attempt because we have enough C. cheilosporioides sequences,Calliarthron cheilosporioides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",1-Jun-2008,NA,A87298,NA,"Epilithic, subtidal, near Denny wavemeter",NA,NA,NA,NA,NA,NA
49,Calliarthron cheilosporioides,NA,Calliarthron cheilosporioides,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, Coralline Bench, CA",25-Feb-2004,NA,A87299,NA,"Epilithic, low intertidal, ""Coralline Bench""",NA,NA,NA,NA,NA,NA
50,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",25-Jan-2005,NA,A87300,NA,"Epilithic, mid intertidal, near ""Coralline bench""",NA,NA,NA,NA,NA,NA
51,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",25-Jan-2005,NA,A87301,NA,"Epilithic, mid intertidal, near ""Coralline bench""",NA,NA,NA,NA,NA,NA
52,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",26-Jan-2005,NA,A87302,NA,"Epilithic, mid intertidal, near ""Coralline bench""",NA,NA,NA,NA,NA,NA
53,Calliarthron cheilosporioides,NA,Calliarthron cheilosporioides,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, Coralline Bench, CA",24-Feb-2004,NA,A87303,NA,"Epilithic, low intertidal, ""Coralline Bench""",NA,NA,NA,NA,NA,NA
54,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, Coralline Bench, CA",24-Feb-2003,NA,A87304,NA,"Epilithic, low intertidal, ""Coralline Bench""",NA,NA,NA,NA,NA,NA
55,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",25-Jan-2005,NA,A87305,NA,"Epilithic, mid intertidal, near ""Coralline bench""",NA,NA,NA,NA,NA,NA
56,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, Coralline Bench, CA",25-Feb-2004,NA,A87306,NA,"Epilithic, low intertidal, ""Coralline Bench""",NA,NA,NA,NA,NA,NA
57,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, Coralline Bench, CA",26-Feb-2004,NA,A87307,NA,"Epilithic, low intertidal, ""Coralline Bench""",NA,NA,NA,NA,NA,NA
58,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, Coralline Bench, CA",25-Feb-2004,NA,A87308,NA,"Epilithic, low intertidal, ""Coralline Bench""",NA,NA,NA,NA,NA,NA
59,Calliarthron cheilosporioides,NA,Calliarthron cheilosporioides,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, Coralline Bench, CA",20-Feb-2004,NA,A87309,NA,"Epilithic, low intertidal, ""Coralline Bench""",NA,NA,NA,NA,NA,NA
60,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",25-Jan-2005,NA,A87310,NA,"Epilithic, mid intertidal, near ""Coralline bench""",NA,NA,NA,NA,NA,NA
61,NA,did not attempt because we have enough C. tuberculosum sequences,Calliarthron tuberculosum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",25-Nov-2003,NA,A87311,NA,"Epilithic, low intertidal, ""Coralline Bench""",NA,NA,NA,NA,NA,NA
62,Calliarthron cheilosporioides,NA,Calliarthron cheilosporioides,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",25-Feb-2004,NA,A87312,NA,"Epilithic, low intertidal, ""Coralline Bench""",NA,NA,NA,NA,NA,NA
63,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",25-Jan-2005,NA,A87313,NA,"Epilithic, mid intertidal, near ""Coralline bench""",NA,NA,NA,NA,NA,NA
64,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Hopkins Marine Station, Pacific Grove, CA",25-Jan-2005,NA,A87314,NA,"Epilithic, mid intertidal, near ""Coralline bench""",NA,NA,NA,NA,NA,NA
65,Bossiella frondifera,NA,Bossiella frondifera,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Harling Pt, Victoria, BC",13-Apr-2009,NA,A88598,NA,"Epilithic, low, under Hedophyllum",NA,NA,NA,NA,NA,NA
66,NA,psbA failed,Cheilosporum sagittatum,NA,yes- 2 50ul elutions,4/10/2013,14i14,NA,NA,NA,NA,NA,NA,Coralline,"Gleneuse Reef, Pt Lonsdale, AUS",18-Jan-2009,NA,A88599,NA,"Epilithic, subtidal",NA,NA,NA,NA,NA,NA
67,NA,psbA failed,Jania verrucosa,NA,yes- 2 50ul elutions (very little sample),4/10/2013,14i14,NA,NA,NA,NA,NA,NA,Coralline,"Point Lonsdale by lighthouse, AUS",21-Jan-2009,NA,A88600,NA,"Epilithic, high intertidal tidepool",NA,NA,NA,NA,NA,NA
68,NA,psbA failed,Haliptilon roseum,NA,yes- 2 50ul elutions,4/10/2013,14i14,NA,NA,NA,NA,NA,NA,Coralline,"Gleneuse Reef, Pt Lonsdale, AUS",18-Jan-2009,NA,A88601,NA,"Epilithic, subtidal",NA,NA,NA,NA,NA,NA
69,Arthrocardia sp.,match to GWS022473Janisp1VIC_Arthrocardia - no forward seq,Arthrocardia flabellata (?),NA,yes- 2 50ul elutions (very little sample),4/10/2013,14i14,NA,NA,NA,NA,NA,NA,Coralline,"Gleneuse Reef, Pt Lonsdale, AUS",18-Jan-2009,NA,A88602,NA,"Epilithic, tidepool",NA,NA,NA,NA,NA,NA
70,GWS Amphsp1TAS,match to GWS016546Amphsp1TAS,Amphiroa anceps,NA,yes,4/16/2013,14i14,X (July 2014) CJ,NA,NA,NA,NA,NA,Coralline,"Gleneuse Reef, Pt Lonsdale, AUS",18-Jan-2009,NA,A88603,NA,"Epilithic, subtidal",NA,NA,NA,NA,NA,NA
71,NA,messy sequence. gave up,Haliptilon roseum,NA,yes,4/16/2013,14i14,NA,NA,NA,NA,NA,NA,Coralline,"Gleneuse Reef, Pt Lonsdale, AUS",18-Jan-2009,NA,A88604,NA,"Epilithic, subtidal",NA,NA,NA,NA,NA,NA
72,NA,psbA failed; 3'end rbcL success,Jania fastigiata,NA,yes,4/16/2013,14i14,NA,NA,NA,NA,NA,NA,Coralline,"Queenscliff, AUS",17-Jan-2009,NA,A88605,NA,Drift on Sargassum,NA,NA,NA,NA,NA,NA
73,NA,psbA failed,Corallina officinalis,NA,yes,3/18/2013,14i14,NA,NA,NA,NA,NA,NA,Coralline,"Point Lonsdale by lighthouse, AUS",21-Jan-2009,voucher is missing,A88606,NA,not noted in LYB,NA,NA,NA,NA,NA,NA
76,Haliptilon roseum,rbcL,Haliptilon roseum,NA,yes,5/4/2009,NA,NA,NA,NA,NA,yes,NA,Coralline,"Gleneuse Reef, Pt Lonsdale, AUS",18-Jan-2009,NA,NA,Y,epiphytic on Amphibolous - collected by snorkel 1-2m shallow subtidal,NA,NA,NA,NA,NA,NA
78,Hydrolithon cymodoceae,rbcL,Lithophyllum?  Fosliella?,NA,yes,5/11/2009,NA,NA,NA,NA,NA,yes,NA,Coralline,"Gleneuse Reef, Pt Lonsdale, AUS",18-Jan-2009,NA,NA,Y,epiphytic on Ampibolous - collected by snorkel 1-2m shallow subtidal,NA,NA,NA,NA,NA,NA
79,NA,psbA failed,Melobesia mediocris,NA,yes- very little sample,4/17/2013,14i14,NA,NA,NA,NA,NA,NA,Coralline,"Whiffen Spit, Sooke, BC",26-Apr-2009,NA,A88607,NA,"On Phyllospadix, low intertidal",NA,NA,NA,NA,NA,NA
80,NA,messy sequence. gave up,Bossiella frondifera,NA,yes,4/16/2013,14i14,NA,NA,NA,NA,NA,NA,Coralline,"Whiffen Spit, Sooke, BC",26-Apr-2009,NA,A88608,NA,Under Phyllospadix,NA,NA,NA,NA,NA,NA
81,Neopolyporolithon reclinatum,NA,Clathromorphum reclinatum,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Harling Pt, Victoria, BC",25-Apr-2009,NA,A88609,NA,"On Bossiella frondifera, low intertidal",NA,NA,NA,NA,NA,NA
82,Bossiella frondescens,NA,Bossiella frondifera,NA,yes,4/16/2013,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Harling Pt, Victoria, BC",25-Apr-2009,NA,"A88610
",NA,"Low intertidal, also Clathromorphum and Corallina",NA,NA,NA,NA,NA,NA
83,NA,did not attempt because we have enough C. vancouveriensis sequences,Corallina vancouveriensis,NA,yes,4/16/2013,NA,NA,NA,NA,NA,NA,NA,Coralline,"Harling Pt, Victoria, BC",25-Apr-2009,NA,A88611,NA,"Low intertidal, also Clathromorphum and Corallina",NA,NA,NA,NA,NA,NA
84,Bossiella reptans,NA,Bossiella sp.,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Whiffen Spit, Sooke, BC",26-Apr-2009,small and creeping,A88612,NA,Under Phyllospadix,NA,NA,NA,NA,NA,NA
85,Corallina officinalis var. chilensis,NA,Corallina officinalis,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Whiffen Spit, Sooke, BC",26-Apr-2009,growing with tunicate,A88613,NA,Under Phyllospadix,NA,NA,NA,NA,NA,NA
86,NA,"messy sequence, gave up",Clathromorphum reclinatum,NA,yes,4/16/2013,14i14,NA,NA,NA,NA,NA,NA,Coralline,"Whiffen Spit, Sooke, BC",26-Apr-2009,NA,A88614,NA,On Corallina officinalis,NA,NA,NA,NA,NA,NA
87,Neopolyporolithon reclinatum,NA,Mesophyllum conchatum,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Whiffen Spit, Sooke, BC",26-Apr-2009,NA,A88615,NA,On Corallina officinalis under Phyllospadix,NA,NA,NA,NA,NA,NA
88,Mesophyllum vancouveriense sp. 2,match to Sandra's CO2_Mesophyllum_vancouveriense_sp._2,Mesophyllum vancouveriense,NA,yes,4/16/2013,14i14,X (July 2014) CJ,NA,NA,NA,NA,NA,Coralline,"Whiffen Spit, Sooke, BC",26-Apr-2009,NA,A88616,NA,"On Phyllospdix root, low intertidal",NA,NA,NA,NA,NA,NA
89,Neopolyporolithon reclinatum,NA,Clathromorphum reclinatum,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Whiffen Spit, Sooke, BC",26-Apr-2009,NA,A88617,NA,"On Bossiella frondifera, low intertidal, waist-high boulders",NA,NA,NA,NA,NA,NA
90,Bossiella frondifera,NA,Bossiella frondifera,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Whiffen Spit, Sooke, BC",26-Apr-2009,NA,A88618,NA,"Epilithic, waist-high boulders",NA,NA,NA,NA,NA,NA
91,Mesophyllum vancouveriense,NA,Lithothamnion phymatodeum,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Whiffen Spit, Sooke, BC",26-Apr-2009,voucher is missing,A88619,NA,"Epilithic, under Phyllospadix",NA,NA,NA,NA,NA,NA
92,NA,did not attempt because we have enough C. vancouveriensis sequences,Corallina vancouveriensis,NA,yes,24/4/2013,NA,NA,NA,NA,NA,NA,NA,Coralline,"Harling Pt, Victoria, BC",25-Apr-2009,NA,A88620,NA,"Epilithic, mid-intertidal",NA,NA,NA,NA,NA,NA
93,Bossiella frondescens,- needs forward,Corallina frondescens,NA,yes,4/17/2013,14i14,NA,NA,NA,NA,NA,NA,Coralline,"Partridge Pt, Ebey State Park, Whidbey Island, WA",9-May-2009,"etiolated tyes, lateral comaptados collected with lindstorm",A88621,NA,"On boulder, mid-intertidal",NA,NA,NA,NA,NA,NA
94,Bossiella frondifera,NA,Bossiella frondifera,NA,NA,NA,NA,NA,NA,NA,NA,x (PG),NA,Coralline,"Partridge Pt, Ebey State Park, Whidbey Island, WA",9-May-2009,"larger than PTM 93, central axis packed with concepticles",A88622,NA,"On boulder, low intertidal",NA,NA,NA,NA,NA,NA
95,Bossiella frondescens,- needs forward,Corallina frondescens,NA,yes- very little sample,4/17/2013,14i14,NA,NA,NA,NA,x (PG),NA,Coralline,"Partridge Pt, Ebey State Park, Whidbey Island, WA",9-May-2009,smaller intergeniuvla then PTM94,A88623,NA,"Upper mid, mid intertidal on boulders",NA,NA,NA,NA,NA,NA
96,Corallina vancouveriensis,NA,Corallina vancouveriensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Partridge Pt, Ebey State Park, Whidbey Island, WA",9-May-2009,"more planar, less bushy",A88624,NA,"Lower mid-intertidal, on boulders",NA,NA,NA,NA,NA,NA
97,NA,NA,Neorhodomela oregona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kyuquot, Walters Island",26-May-2009,NA,NA,Y,"High intertidal, in tidepool, shaded",NA,NA,NA,NA,NA,NA
98,NA,NA,Mastocarpus papillatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kyuquot, Walters Island",26-May-2009,location rich with tannins in tidepool,NA,Y,mid intertidal,NA,NA,NA,NA,NA,NA
99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not in the LYB,NA,NA,not noted in LYB,NA,NA,NA,NA,NA,NA
