PTM#,Final determination,genetic match/notes,Determination in the field,Vial in Martone Lab?,Extracted?,Date of Extraction,PCR date (psbA),psbA sequence?,PCR date (CO1),CO1 sequence?,PCR date (rbcL),RbcL sequence?,SSU sequence?,Red/Coralline/Green/Brown,Locality,Date Collected,Notes,Accession #,Missing accession,Habitat,Fragments available?,Latitude,Longitude,Main Collector,Other collectors,Determiners
1330,NA,Corallina sp.4frondescens 84% BLAST - mod seq,NA,yes,x (JN),8/11/2015,NA,NA,8/19/2015,NA,NA,NA,NA,Coralline,"Quidico-yari, Chile",NA,"Chile #D6; on stranded Durvillaea, PCR worked after 1:10 dilution; no voucher; ziploc fragments",no voucher,NA,drift,Yes,-37.43576,-73.6009,M. Thiel,NA,NA
1331,NA,NA,NA,yes,x (JN),8/11/2015,NA,NA,"8/19/2015, negative",NA,NA,NA,NA,Coralline,"Quidico-yari, Chile",NA,"Chile #D9; on stranded Durvillaea, PCR failed full strength & 1:10 dilution; no voucher; ziploc fragments",no voucher,NA,drift,Yes,-37.43576,-73.6009,M. Thiel,NA,NA
1332,NA,pseudolithophyllum sp.16muricatum 86% match BLAST - mod seq,NA,yes,x (JN),8/11/2015,NA,NA,8/18/2015,NA,NA,NA,NA,Coralline,"Quidico-yari, Chile",NA,Chile #D10; on stranded Durvillaea; no voucher; ziploc fragments,no voucher,NA,drift,Yes,-37.43576,-73.6009,M. Thiel,NA,NA
1333,NA,pseudolithophyllum sp.16muricatum 86% match BLAST - mod seq,NA,yes,x (JN),8/11/2015,NA,NA,8/18/2015,NA,NA,NA,NA,Coralline,"Quidico-yari, Chile",NA,Chile #D17; on stranded Durvillaea; no voucher; ziploc fragments,no voucher,NA,drift,Yes,-37.43576,-73.6009,M. Thiel,NA,NA
1334,NA,messy M13F seq,NA,yes,x (JN),8/11/2015,NA,NA,8/18/2015,NA,NA,NA,NA,Coralline,"Quidico-yari, Chile",NA,Chile #D22; on stranded Durvillaea; no voucher; ziploc fragments,no voucher,NA,drift,Yes,-37.43576,-73.6009,M. Thiel,NA,NA
1335,NA,NA,NA,yes,x (JN),8/11/2015,NA,NA,"8/7/2015, negative",NA,NA,NA,NA,Coralline,"Pucatrihue, Chile",NA,Chile #D3; on stranded Durvillaea; PCR failed full strength & 1:10 dilution; no voucher; ziploc fragments,no voucher,NA,drift,Yes,-37.43576,-73.6009,M. Thiel,NA,NA
1336,NA,pseudolithophyllum sp.16muricatum 86% match BLAST - mod seq,NA,yes,x (JN),8/12/2015,NA,NA,8/19/2015,NA,NA,NA,NA,Coralline,"Pucatrihue, Chile",NA,Chile #D7; on stranded Durvillaea; no voucher; ziploc fragments,no voucher,NA,drift,Yes,-40.5281,-73.71645,M. Thiel,NA,NA
1337,Corallina caespitosa,95% match on BLAST,NA,yes,x (JN),8/12/2015,NA,NA,8/19/2015,NA,NA,NA,NA,Coralline,"Pucatrihue, Chile",NA,Chile #D9; on stranded Durvillaea; no voucher; ziploc fragments,no voucher,NA,drift,Yes,-40.5281,-73.71645,M. Thiel,NA,NA
1338,NA,messy M13F,NA,yes,x (JN),8/12/2015,NA,NA,8/19/2015,NA,NA,NA,NA,Coralline,"Pucatrihue, Chile",NA,Chile #D14; on stranded Durvillaea; no voucher; ziploc fragments,no voucher,NA,drift,Yes,-40.5281,-73.71645,M. Thiel,NA,NA
1339,NA,99% match to Durvillaea antarctica on BLAST amplified host,NA,yes,x (JN),8/12/2015,NA,NA,"8/19/2015, faint",NA,NA,NA,NA,Coralline,"Pichicuy, Chile",NA,"Chile #D4; on stranded Durvillaea, PCR failed full strength, faint band after 1:10 dilution; no voucher; ziploc fragments",no voucher,NA,drift,Yes,-32.34254,-71.5899,M. Thiel,NA,NA
1340,NA,amplified contamination. 97% match to gammaproteobacteria on BLAST,NA,yes,x (JN),8/12/2015,NA,NA,8/18/2015,NA,NA,NA,NA,Coralline,"Pichicuy, Chile",NA,Chile #D8; on stranded Durvillaea; no voucher; ziploc fragments,no voucher,NA,drift,Yes,-32.34254,-71.5899,M. Thiel,NA,NA
1341,NA,NA,NA,yes,x (JN),8/12/2015,NA,NA,"8/18/2015, negative",NA,NA,NA,NA,Coralline,"Pichicuy, Chile",NA,Chile #D13; on stranded Durvillaea; PCR failed full strength; no voucher; ziploc fragments,no voucher,NA,drift,Yes,-32.34254,-71.5899,M. Thiel,NA,NA
1342,NA,NA,NA,yes,x (JN),8/12/2015,NA,NA,"8/18/2015, faint band",NA,NA,NA,NA,Coralline,"Pichicuy, Chile",NA,"Chile #D14; on stranded Durvillaea, faint band in PCR full strength; no voucher; ziploc fragments",no voucher,NA,drift,Yes,-32.34254,-71.5899,M. Thiel,NA,NA
1343,NA,amplified contamination. 96% match to gammaproteobacteria on BLAST,NA,yes,x (JN),8/12/2015,NA,NA,8/18/2015,NA,NA,NA,NA,Coralline,"Pichicuy, Chile",NA,Chile #D16; on stranded Durvillaea; no voucher; ziploc fragments,no voucher,NA,drift,Yes,-32.34254,-71.5899,M. Thiel,NA,NA
1344,NA,messy seq,NA,yes,x (JN),8/12/2015,NA,NA,8/18/2015,NA,NA,NA,NA,Coralline,"Pichicuy, Chile",NA,Chile #D17; on stranded Durvillaea; no voucher; ziploc fragments,no voucher,NA,drift,Yes,-32.34254,-71.5899,M. Thiel,NA,NA
1345,NA,messy seq,NA,yes,x (JN),8/12/2015,NA,NA,8/18/2015,NA,NA,NA,NA,Coralline,"Pichicuy, Chile",NA,Chile #D20; on stranded Durvillaea; no voucher; ziploc fragments,no voucher,NA,drift,Yes,-32.34254,-71.5899,M. Thiel,NA,NA
1346,NA,amplified contamination. 99% match to gammaproteobacteria on BLAST,NA,yes,x (JN),8/12/2015,NA,NA,8/18/2015,NA,NA,NA,NA,Coralline,"Pichicuy, Chile",NA,Chile #D24; on stranded Durvillaea; no voucher; ziploc fragments,no voucher,NA,drift,Yes,-32.34254,-71.5899,M. Thiel,NA,NA
1347,NA,Pseudolithophyllum sp.19muricatum 85%on BLAST - mod seq,NA,yes,x (JN),8/12/2015,NA,NA,8/18/2015,NA,NA,NA,NA,Coralline,"Itata Norte, Chile",NA,Chile #D4; on stranded Durvillaea; no voucher; ziploc fragments,no voucher,NA,drift,Yes,-36.32441,-72.83194,M. Thiel,NA,NA
1349,NA,Corallina sp. 4frondescens 85% on BLAST,NA,yes,x (JN),8/12/2015,NA,NA,8/18/2015,NA,NA,NA,NA,Coralline,"Itata Norte, Chile",NA,"Chile #D11; on stranded Durvillaea; no voucher, ziploc fragments",no voucher,NA,drift,Yes,-36.32441,-72.83194,M. Thiel,NA,NA
1350,NA,99.84% match to Durvillaea antarctica on BOLD amplified host,NA,yes,x (JN),8/12/2015,NA,NA,8/18/2015,NA,NA,NA,NA,Coralline,"Quidico-tirua, Chile",NA,"Chile #D2; on stranded Durvillaea; no voucher, ziploc fragments",no voucher,NA,drift,Yes,-38.24516,-73.8962,M. Thiel,NA,NA
1351,NA,messy M13F,NA,yes,x (JN),8/12/2015,NA,NA,8/18/2015,NA,NA,NA,NA,Coralline,"Quidico-tirua, Chile",NA,"Chile #D11; on stranded Durvillaea;no voucher, ziploc fragments",no voucher,NA,drift,Yes,-38.24516,-73.8962,M. Thiel,NA,NA
1535,NA,NA,Trentepohlia sp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green,"Hvolsvöllur, Iceland",NA,NA,A93586,NA,"on cliff face, under Seljalandsfoss waterfall",NA,63.615502,-19.988397,Patrick T. Martone,NA,NA
1536,NA,NA,Scytosiphon lomentaria,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brown,"West Beach Boulders, Hakai",NA,NA,A93587,NA,NA,NA,51.6492,-128.1519,Sandra Lindstrom,NA,NA
1537,NA,NA,Prasiola sp.,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green,"Little Wolf Beach, Hakai",NA,NA,A93588,NA,NA,NA,51.665979,-128.130709,Kyra Janot,NA,NA
1538,NA,NA,Prasiola sp.,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green,"North Beach, Hakai",NA,no fungus,A93589,NA,NA,NA,51.66541,-128.13533,Kyra Janot,NA,NA
1543,NA,NA,Trentepohlia flava,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green,"5th Beach, Hakai",NA,NA,A93590,NA,NA,NA,51.64089,-128.15659,Sam Starko,NA,NA
1544,NA,NA,Green Balls,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green,"North Beach Bench, Hakai",NA,NA,NA,NA,NA,NA,51.66541,-128.13533,Sam Starko,NA,NA
1545,NA,NA,Saccharina groenlandica,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brown,"Maey Channel, Hakai",NA,NA,A93591,NA,NA,NA,51.663111,-128.09757,Sam Starko,NA,NA
1550,NA,NA,Colpomenia bullosa,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brown,"North Beach Boulders, Hakai",NA,2017_5,A93592,voucher,"epilithic, low North Beach Boulders",NA,51.66541,-128.13533,Patrick T. Martone,NA,NA
1556,NA,NA,Melanosiphon sp.,yes,NA,2018.01.23,NA,NA,NA,NA,NA,NA,NA,Brown,"5th Beach exposed Pt., Hakai",NA,2017_12,A93593,voucher,"high, near Fucus, endocladia, edge of small pool",NA,51.64089,-128.15659,Patrick T. Martone,NA,NA
1557,NA,96% sequence match to Acrosorium ciliolatum in BLAST (NCBI)- ***Need CO1,Nitophyllum sp.,yes,x (AH/SH),2018.01.23,2018.01.26,NA,NA,NA,NA,NA,NA,Red,"5th Beach exposed Pt., Hakai",NA,2017_13,NA,NA,NA,NA,51.64089,-128.15659,Patrick T. Martone,NA,NA
1558,NA,NA,Petrospongium rugosum,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brown,"5th Beach exposed Pt., Hakai",NA,2017_14,A93594,voucher,"mid, by endocladia, channel",NA,51.64089,-128.15659,Patrick T. Martone,NA,NA
1560,NA,NA,Corallina sp.1 californica,yes,x (AH/SH),2018.01.23,2018.02.15,NA,NA,NA,NA,NA,NA,Red,"5th Beach exposed Pt., Hakai",NA,2017_16,NA,NA,NA,NA,51.64089,-128.15659,Patrick T. Martone,NA,NA
1561,Bossiella frondifera,sequence match 100% to Bossiella frondifera in BLAST (NCBI),Bossiella frondifera,yes,x (AH/SH),2018.01.23,2018.01.26,NA,NA,NA,NA,NA,NA,Red,"Coralline X North Beach Site, Hakai",2017,X1_A,NA,NA,NA,NA,51.665693,-128.135361,NA,NA,NA
1562,Bossiella plumosa,100% Bossiella sp.6plumosa,Bossiella plumosa,yes,x (AH/SH),2018.01.23,2018.01.26,NA,NA,NA,NA,NA,NA,Red,"Coralline X North Beach Site, Hakai",2017,X1_A,NA,NA,NA,NA,51.665693,-128.135361,NA,NA,NA
1563,NA,NA,Pseudolithophyllum whidbeyense,yes,x (AH/SH),2018.01.23,2018.02.15,NA,NA,NA,NA,NA,NA,Red,"Coralline X North Beach Site, Hakai",2017,X1_A,NA,NA,NA,NA,51.665693,-128.135361,NA,NA,NA
1564,NA,NA,recruit,yes,x (AH/SH),2018.01.23,NA,NA,NA,NA,NA,NA,NA,Red,"Coralline X North Beach Site, Hakai",2017,X1_C1,NA,NA,NA,NA,51.665693,-128.135361,NA,NA,NA
1565,Corallina vancouveriensis,sequence match 99% to Corallina vancouveriensis in BLAST (NCBI) + confirmation by psbA Mastertree,recruit,yes,x (AH/SH),2018.01.23,2018.01.26,NA,NA,NA,NA,NA,NA,Red,"Coralline X North Beach Site, Hakai",2017,X1_C3,NA,NA,NA,NA,51.665693,-128.135361,NA,NA,NA
1566,Bossiella frondifera,sequence match 100% to Bossiella frondifera in BLAST (NCBI),Bossiella frondifera,yes,x (AH/SH),2018.01.16,2018.01.18,NA,NA,NA,NA,NA,NA,Red,"Coralline X North Beach Site, Hakai",2017,X2_C; weird,NA,NA,NA,NA,51.665693,-128.135361,NA,NA,NA
1567,Bossiella plumosa,sequence match 99% to Bossiella plumosa in BLAST (NCBI),Bossiella frondifera,yes,x (AH/SH),2018.01.16,2018.02.09,NA,NA,NA,NA,NA,NA,Red,"Coralline X North Beach Site, Hakai",2017,X2_C; typical,NA,NA,NA,NA,51.665693,-128.135361,NA,NA,NA
1568,Bossiella frondifera,sequence match 99% to Bossiella frondifera in BLAST (NCBI),Bossiella manzae,yes,x (AH/SH),2018.01.16,2018.01.18,NA,NA,NA,NA,NA,NA,Red,"Coralline X North Beach Site, Hakai",2017,X2_C,NA,NA,NA,NA,51.665693,-128.135361,NA,NA,NA
1569,NA,NA,Bossiella plumosa,yes,x (AH/SH),2018.01.16,2018.02.09,NA,NA,NA,NA,NA,NA,Red,"Coralline X North Beach Site, Hakai",2017,X2_C,NA,NA,NA,NA,51.665693,-128.135361,NA,NA,NA
1570,NA,NA,Lithothamnion sp.,yes,x (AH/SH),2018.01.23,2018.01.26,NA,NA,NA,NA,NA,NA,Red,"Coralline X North Beach Site, Hakai",2017,X3_A,NA,NA,NA,NA,51.665693,-128.135361,NA,NA,NA
1571,Bossiella frondifera,Bossiella frondifera from psbA gene tree,Bossiella frondifera,yes,x (AH/SH),2018.01.16,2018.01.18,NA,NA,NA,NA,NA,NA,Red,"Coralline X North Beach Site, Hakai",2017,X4_B,NA,NA,NA,NA,51.665693,-128.135361,NA,NA,NA
1572,Bossiella plumosa,Bossiella plumosa from psbA gene tree,Bossiella plumosa,yes,x (AH/SH),2018.01.16,2018.01.18,NA,NA,NA,NA,NA,NA,Red,"Coralline X North Beach Site, Hakai",2017,X4_B,NA,NA,NA,NA,51.665693,-128.135361,NA,NA,NA
1573,Bossiella frondifera,sequence match 99% to Bossiella frondifera in BLAST (NCBI),Bossiella manzae,yes,x (AH/SH),2018.01.16,2018.01.18,NA,NA,NA,NA,NA,NA,Red,"Coralline X North Beach Site, Hakai",2017,X4_B,NA,NA,NA,NA,51.665693,-128.135361,NA,NA,NA
1574,NA,NA,Petalonia sp.,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brown,"Coralline X North Beach Site, Hakai",2017,X5_A,NA,NA,NA,NA,51.665693,-128.135361,NA,NA,NA
1575,Chamberlainium tumidum,sequence match 99% to Spongites tumidum in BLAST (NCBI),Chamberlainium tumidum,yes,x (AH/SH),2018.01.16,2018.01.18,NA,NA,NA,NA,NA,NA,Red,"Coralline X North Beach Site, Hakai",2017,X9_A,NA,NA,NA,NA,51.665693,-128.135361,NA,NA,NA
1576,Bossiella frondifera,Bossiella frondifera from psbA gene tree,Bossiella frondifera,yes,x (AH/SH),2018.01.16,2018.01.18,NA,NA,NA,NA,NA,NA,Red,"Coralline X North Beach Site, Hakai",2017,"X9_A: ""1""",NA,NA,NA,NA,51.665693,-128.135361,NA,NA,NA
1577,NA,Messy sequence,Bossiella frondifera,yes,x (AH/SH),2018.01.16,2018.01.18,NA,NA,NA,NA,NA,NA,Red,"Coralline X North Beach Site, Hakai",2017,"X9_A; ""2""",NA,NA,NA,NA,51.665693,-128.135361,NA,NA,NA
1578,NA,NA,Brown crust,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brown,"Coralline X North Beach Site, Hakai",2017,X_,NA,NA,NA,NA,51.665693,-128.135361,Sam Starko,NA,NA
1579,NA,NA,Desmarestia ligulata,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brown,"West Beach Boulders, Calvert island",NA,thin and branched,A93217,NA,"subtidal, 5.5m",NA,51.6492,-128.1519,Ondine Pontier and Tanya Prinzing,NA,Patrick T. Martone
1580,NA,NA,Desmarestia latissima,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brown,"West Beach Boulders, Calvert island",NA,Broad,A93218,NA,"subtidal, 3.5m",NA,51.6492,-128.1519,Ondine Pontier and Tanya Prinzing,NA,Patrick T. Martone
1581,NA,NA,Desmarestia aculeata,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brown,"West Beach Boulders, Calvert island",NA,NA,A93219,NA,"subtidal, 3m",NA,51.6492,-128.1519,Ondine Pontier and Tanya Prinzing,NA,Patrick T. Martone
1582,Scinaia confusa,sequence match 100% with Scinaia confusa in BOLD,Scinaia confusa,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,"North Beach Bench, Calvert Island",NA,NA,A93220,NA,"Low intertidal, epilithic",NA,51.66541,-128.13533,Patrick T. Martone,NA,Patrick T. Martone
1583,Hymenena kylinii,sequence match 100% with Hymenena kylinii in BOLD; also match to Hymenena sp.GWS002901 in NBC1,Hymenena flabelligera,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,"North Beach Boulders, Calvert Island",NA,Under Egregia,A93221,NA,Lower mid-intertidal,NA,51.66541,-128.13533,Patrick T. Martone,NA,Patrick T. Martone
1584,Ptilota filicina,sequence match 99.85% with Ptilota filicina in BOLD,Ptilota sp.,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,"North Beach Boulders, Calvert Island",NA,Finely branched,A93222,NA,Lower mid-intertidal,NA,51.66541,-128.13533,Patrick T. Martone,NA,Patrick T. Martone
1585,Odonthalia floccosa f. comosa,sequence match 100% with Odonthalia floccosa f. comosa,Odonthalia floccosa forma comosa,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,"North Beach Bench, Calvert Island",NA,On mussel,A93223,NA,mid intertidal,NA,51.66541,-128.13533,Patrick T. Martone,NA,Patrick T. Martone
1586,NA,sequencing failed,Lithophyllum dispar,yes,x (BOLD),NA,2018.07.24 (JL),NA,NA,NA,NA,NA,NA,Red,"North Beach Boulders, Calvert Island",NA,On Osmundea,A93224,NA,Lower mid-intertidal,NA,51.66541,-128.13533,Patrick T. Martone,NA,Patrick T. Martone
1587,Pterocladiella caloglossoides,sequence match 100% with Pterocladiella caloglossoides in BOLD,Pterocladiella sp.,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,"North Beach Boulders, Calvert Island",NA,NA,A93225,NA,"Low intertidal, epilithic",NA,51.66541,-128.13533,Patrick T. Martone,NA,Patrick T. Martone
1588,Corallina sp.1 frondescens,sequence match 100% with Corallina frondescens in BOLD,Corallina sp.1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,"North Beach Bench, Calvert Island",NA,NA,A93226,NA,"Low, under overhanging rock",NA,51.66541,-128.13533,Patrick T. Martone,NA,Patrick T. Martone
1589,Neopolyporolithon reclinatum,sequence match 100% with Neopolyporolithon reclinatum in BOLD,Neopolyporolithon reclinatum,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,"North Beach Bench, Calvert Island",NA,On Bossiella reptans,A93227,NA,Low intertidal,Yes,51.66541,-128.13533,Patrick T. Martone,NA,Patrick T. Martone
1590,NA,sequencing failed,Bossiella mayae,yes,x (BOLD),NA,2018.07.24 (JL),NA,NA,NA,NA,NA,NA,Red,"West Beach Boulders, Calvert island",NA,"Growing at base of kelp holdfast, covered in Platysiphonia decumbens",A93228,NA,"subtidal, 5.5m",NA,51.66541,-128.13533,Ondine Pontier and Tanya Prinzing,NA,Patrick T. Martone
